Ref,Val,Package,PosX,PosY,Rot,Side
"D114","19-337C_RSBHGHC-A88_4T","4T",1.321850,-1.293307,0.000000,top
"D115","19-337C_RSBHGHC-A88_4T","4T",1.696850,-2.043307,0.000000,top
"D116","19-337C_RSBHGHC-A88_4T","4T",1.040600,-3.543307,0.000000,top
"D117","19-337C_RSBHGHC-A88_4T","4T",2.821850,-0.168307,0.000000,top
"D118","19-337C_RSBHGHC-A88_4T","4T",2.071850,-1.293307,0.000000,top
"D119","19-337C_RSBHGHC-A88_4T","4T",2.446850,-2.043307,0.000000,top
"D120","19-337C_RSBHGHC-A88_4T","4T",1.884350,-2.793307,0.000000,top
"D121","19-337C_RSBHGHC-A88_4T","4T",3.571850,-0.168307,0.000000,top
"D122","19-337C_RSBHGHC-A88_4T","4T",2.821850,-1.293307,0.000000,top
"D123","19-337C_RSBHGHC-A88_4T","4T",3.196850,-2.043307,0.000000,top
"D124","19-337C_RSBHGHC-A88_4T","4T",2.634350,-2.793307,0.000000,top
"D125","19-337C_RSBHGHC-A88_4T","4T",4.321850,-0.168307,0.000000,top
"D126","19-337C_RSBHGHC-A88_4T","4T",3.571850,-1.293307,0.000000,top
"D127","19-337C_RSBHGHC-A88_4T","4T",3.946850,-2.043307,0.000000,top
"D128","19-337C_RSBHGHC-A88_4T","4T",3.384350,-2.793307,0.000000,top
"D129","19-337C_RSBHGHC-A88_4T","4T",5.446850,-0.168307,0.000000,top
"D130","19-337C_RSBHGHC-A88_4T","4T",4.321850,-1.293307,0.000000,top
"D131","19-337C_RSBHGHC-A88_4T","4T",4.696850,-2.043307,0.000000,top
"D132","19-337C_RSBHGHC-A88_4T","4T",4.134350,-2.793307,0.000000,top
"D133","19-337C_RSBHGHC-A88_4T","4T",6.196850,-0.168307,0.000000,top
"D134","19-337C_RSBHGHC-A88_4T","4T",5.071850,-1.293307,0.000000,top
"D135","19-337C_RSBHGHC-A88_4T","4T",5.446850,-2.043307,0.000000,top
"D136","19-337C_RSBHGHC-A88_4T","4T",4.884350,-2.793307,0.000000,top
"D137","19-337C_RSBHGHC-A88_4T","4T",6.946850,-0.168307,0.000000,top
"D138","19-337C_RSBHGHC-A88_4T","4T",5.821850,-1.293307,0.000000,top
"D139","19-337C_RSBHGHC-A88_4T","4T",6.196850,-2.043307,0.000000,top
"D140","19-337C_RSBHGHC-A88_4T","4T",5.634350,-2.793307,0.000000,top
"D141","19-337C_RSBHGHC-A88_4T","4T",7.696850,-0.168307,0.000000,top
"D142","19-337C_RSBHGHC-A88_4T","4T",6.571850,-1.293307,0.000000,top
"D143","19-337C_RSBHGHC-A88_4T","4T",6.946850,-2.043307,0.000000,top
"D144","19-337C_RSBHGHC-A88_4T","4T",6.384350,-2.793307,0.000000,top
"D145","19-337C_RSBHGHC-A88_4T","4T",8.821850,-0.168307,0.000000,top
"D146","19-337C_RSBHGHC-A88_4T","4T",7.321850,-1.293307,0.000000,top
"D147","19-337C_RSBHGHC-A88_4T","4T",7.696850,-2.043307,0.000000,top
"D148","19-337C_RSBHGHC-A88_4T","4T",7.134350,-2.793307,0.000000,top
"D149","19-337C_RSBHGHC-A88_4T","4T",9.571850,-0.168307,0.000000,top
"D150","19-337C_RSBHGHC-A88_4T","4T",8.071850,-1.293307,0.000000,top
"D151","19-337C_RSBHGHC-A88_4T","4T",8.446850,-2.043307,0.000000,top
"D152","19-337C_RSBHGHC-A88_4T","4T",7.884350,-2.793307,0.000000,top
"D153","19-337C_RSBHGHC-A88_4T","4T",10.321850,-0.168307,0.000000,top
"D154","19-337C_RSBHGHC-A88_4T","4T",8.821850,-1.293307,0.000000,top
"D155","19-337C_RSBHGHC-A88_4T","4T",9.196850,-2.043307,0.000000,top
"D156","19-337C_RSBHGHC-A88_4T","4T",8.634350,-2.793307,0.000000,top
"D157","19-337C_RSBHGHC-A88_4T","4T",11.071850,-0.168307,0.000000,top
"D158","19-337C_RSBHGHC-A88_4T","4T",9.571850,-1.293307,0.000000,top
"D159","19-337C_RSBHGHC-A88_4T","4T",9.946850,-2.043307,0.000000,top
"D160","19-337C_RSBHGHC-A88_4T","4T",9.384350,-2.793307,0.000000,top
"D161","19-337C_RSBHGHC-A88_4T","4T",12.009350,-0.168307,0.000000,top
"D162","19-337C_RSBHGHC-A88_4T","4T",10.696850,-1.293307,0.000000,top
"D163","19-337C_RSBHGHC-A88_4T","4T",10.884350,-2.043307,0.000000,top
"D164","19-337C_RSBHGHC-A88_4T","4T",10.603100,-2.793307,0.000000,top
"D165","19-337C_RSBHGHC-A88_4T","4T",12.759350,-0.168307,0.000000,top
"D166","19-337C_RSBHGHC-A88_4T","4T",12.009350,-1.293307,0.000000,top
"D167","19-337C_RSBHGHC-A88_4T","4T",12.009350,-2.043307,0.000000,top
"D168","19-337C_RSBHGHC-A88_4T","4T",13.509350,-2.043307,0.000000,top
"D169","19-337C_RSBHGHC-A88_4T","4T",13.509350,-0.168307,0.000000,top
"D170","19-337C_RSBHGHC-A88_4T","4T",12.759350,-1.293307,0.000000,top
"D171","19-337C_RSBHGHC-A88_4T","4T",12.759350,-2.043307,0.000000,top
"D172","19-337C_RSBHGHC-A88_4T","4T",13.509350,-1.293307,0.000000,top
"D173","19-337C_RSBHGHC-A88_4T","4T",2.259350,-3.543307,0.000000,top
"D174","19-337C_RSBHGHC-A88_4T","4T",0.665600,-4.293307,0.000000,top
"D175","19-337C_RSBHGHC-A88_4T","4T",14.446850,-2.793307,0.000000,top
"D176","19-337C_RSBHGHC-A88_4T","4T",14.446850,-3.543307,0.000000,top
"D177","19-337C_RSBHGHC-A88_4T","4T",3.009350,-3.543307,0.000000,top
"D178","19-337C_RSBHGHC-A88_4T","4T",1.603100,-4.293307,0.000000,top
"D179","19-337C_RSBHGHC-A88_4T","4T",15.196850,-2.793307,0.000000,top
"D180","19-337C_RSBHGHC-A88_4T","4T",15.196850,-3.543307,0.000000,top
"D181","19-337C_RSBHGHC-A88_4T","4T",3.759350,-3.543307,0.000000,top
"D182","19-337C_RSBHGHC-A88_4T","4T",2.540600,-4.293307,0.000000,top
"D183","19-337C_RSBHGHC-A88_4T","4T",15.946850,-2.793307,0.000000,top
"D184","19-337C_RSBHGHC-A88_4T","4T",15.946850,-3.543307,0.000000,top
"D185","19-337C_RSBHGHC-A88_4T","4T",5.259350,-3.543307,0.000000,top
"D186","19-337C_RSBHGHC-A88_4T","4T",4.509350,-3.543307,0.000000,top
"D187","19-337C_RSBHGHC-A88_4T","4T",15.946850,-1.293307,0.000000,top
"D188","19-337C_RSBHGHC-A88_4T","4T",15.946850,-4.293307,0.000000,top
"D189","19-337C_RSBHGHC-A88_4T","4T",6.009350,-3.543307,0.000000,top
"D190","19-337C_RSBHGHC-A88_4T","4T",5.353100,-4.293307,0.000000,top
"D191","19-337C_RSBHGHC-A88_4T","4T",15.196850,-2.043307,0.000000,top
"D192","19-337C_RSBHGHC-A88_4T","4T",16.696850,-3.918307,0.000000,top
"D193","19-337C_RSBHGHC-A88_4T","4T",6.759350,-3.543307,0.000000,top
"D194","19-337C_RSBHGHC-A88_4T","4T",8.165600,-4.293307,0.000000,top
"D195","19-337C_RSBHGHC-A88_4T","4T",15.946850,-2.043307,0.000000,top
"D196","19-337C_RSBHGHC-A88_4T","4T",16.696850,-2.418307,0.000000,top
"D197","19-337C_RSBHGHC-A88_4T","4T",7.509350,-3.543307,0.000000,top
"D198","19-337C_RSBHGHC-A88_4T","4T",9.103100,-4.293307,0.000000,top
"D199","19-337C_RSBHGHC-A88_4T","4T",14.446850,-2.043307,0.000000,top
"D200","19-337C_RSBHGHC-A88_4T","4T",14.821850,-4.293307,0.000000,top
"D201","19-337C_RSBHGHC-A88_4T","4T",8.259350,-3.543307,0.000000,top
"D202","19-337C_RSBHGHC-A88_4T","4T",10.040600,-4.293307,0.000000,top
"D203","19-337C_RSBHGHC-A88_4T","4T",15.196850,-1.293307,0.000000,top
"D204","19-337C_RSBHGHC-A88_4T","4T",16.696850,-1.293307,0.000000,top
"D205","19-337C_RSBHGHC-A88_4T","4T",9.009350,-3.543307,0.000000,top
"D206","19-337C_RSBHGHC-A88_4T","4T",10.978100,-4.293307,0.000000,top
"D207","19-337C_RSBHGHC-A88_4T","4T",14.446850,-1.293307,0.000000,top
"D208","19-337C_RSBHGHC-A88_4T","4T",13.570866,-2.842520,0.000000,top
"D209","19-337C_RSBHGHC-A88_4T","4T",10.415600,-3.543307,0.000000,top
"D210","19-337C_RSBHGHC-A88_4T","4T",12.009350,-4.293307,0.000000,top
"D211","19-337C_RSBHGHC-A88_4T","4T",14.446850,-0.168307,0.000000,top
"D212","19-337C_RSBHGHC-A88_4T","4T",13.143892,-2.842520,0.000000,top
"D213","19-337C_RSBHGHC-A88_4T","4T",12.759350,-3.543307,0.000000,top
"D214","19-337C_RSBHGHC-A88_4T","4T",12.759350,-4.293307,0.000000,top
"D215","19-337C_RSBHGHC-A88_4T","4T",15.196850,-0.168307,0.000000,top
"D216","19-337C_RSBHGHC-A88_4T","4T",12.716917,-2.842520,0.000000,top
"D217","19-337C_RSBHGHC-A88_4T","4T",11.917323,-2.842520,180.000000,top
"D218","19-337C_RSBHGHC-A88_4T","4T",13.509350,-4.293307,0.000000,top
"D219","19-337C_RSBHGHC-A88_4T","4T",15.946850,-0.168307,0.000000,top
"D220","19-337C_RSBHGHC-A88_4T","4T",12.289943,-2.842520,0.000000,top
"R2","RC0603FR-075K1L","Yageo-RC0603-0-0-IPC_C",14.030000,-0.100000,90.000000,top
"R11","RNCP0603FTD10K0","RESC1508X50N",16.700000,-0.825000,0.000000,top
"R12","RNCP0603FTD10K0","RESC1508X50N",16.810000,-0.850000,270.000000,top
"R13","RNCP0603FTD10K0","RESC1508X50N",17.120000,-0.825000,180.000000,top
"R14","RNCP0603FTD10K0","RESC1508X50N",17.015000,-0.850000,270.000000,top
